,lat,long,weather
rio grande,-37.64543897858696,-46.54167607204832,"{'coord': {'lon': -52.1, 'lat': -32.03}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 294.223, 'pressure': 1030.69, 'humidity': 95, 'temp_min': 294.223, 'temp_max': 294.223, 'sea_level': 1033.01, 'grnd_level': 1030.69}, 'wind': {'speed': 8.01, 'deg': 114.001}, 'clouds': {'all': 76}, 'dt': 1547956141, 'sys': {'message': 0.0047, 'country': 'BR', 'sunrise': 1547973723, 'sunset': 1548023786}, 'id': 3451138, 'name': 'Rio Grande', 'cod': 200}"
byron bay,-28.72424051884697,155.0016182156034,"{'coord': {'lon': 153.62, 'lat': -28.65}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 303.47, 'pressure': 1017, 'humidity': 58, 'temp_min': 301.15, 'temp_max': 306.15}, 'visibility': 10000, 'wind': {'speed': 5.1, 'deg': 60}, 'clouds': {'all': 56}, 'dt': 1547955000, 'sys': {'type': 1, 'id': 9486, 'message': 0.0063, 'country': 'AU', 'sunrise': 1547924740, 'sunset': 1547974006}, 'id': 2172880, 'name': 'Byron Bay', 'cod': 200}"
xuanzhou,31.23613634488052,118.94003866176905,"{'coord': {'lon': 118.78, 'lat': 30.95}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 279.298, 'pressure': 1043.5, 'humidity': 90, 'temp_min': 279.298, 'temp_max': 279.298, 'sea_level': 1045.45, 'grnd_level': 1043.5}, 'wind': {'speed': 3.46, 'deg': 40.5008}, 'clouds': {'all': 8}, 'dt': 1547956286, 'sys': {'message': 0.0042, 'country': 'CN', 'sunrise': 1547938947, 'sunset': 1547976560}, 'id': 1788081, 'name': 'Xuanzhou', 'cod': 200}"
tawang,27.797045201151718,91.80981545716088,"{'coord': {'lon': 91.87, 'lat': 27.59}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 271.999, 'pressure': 690.24, 'humidity': 45, 'temp_min': 271.999, 'temp_max': 271.999, 'sea_level': 1034.02, 'grnd_level': 690.24}, 'wind': {'speed': 0.51, 'deg': 157.001}, 'clouds': {'all': 0}, 'dt': 1547956287, 'sys': {'message': 0.0031, 'country': 'BT', 'sunrise': 1547945016, 'sunset': 1547983409}, 'id': 1254832, 'name': 'Tawang', 'cod': 200}"
hasaki,29.62554866763989,153.79792311854015,"{'coord': {'lon': 140.83, 'lat': 35.73}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 283.15, 'pressure': 1003, 'humidity': 100, 'temp_min': 283.15, 'temp_max': 283.15}, 'visibility': 10000, 'wind': {'speed': 2.6, 'deg': 260}, 'clouds': {'all': 75}, 'dt': 1547955000, 'sys': {'type': 1, 'id': 7955, 'message': 0.004, 'country': 'JP', 'sunrise': 1547934264, 'sunset': 1547970660}, 'id': 2112802, 'name': 'Hasaki', 'cod': 200}"
omsukchan,61.229945733764424,156.34620035743916,"{'coord': {'lon': 155.8, 'lat': 62.53}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 240.698, 'pressure': 932.28, 'humidity': 74, 'temp_min': 240.698, 'temp_max': 240.698, 'sea_level': 1034.06, 'grnd_level': 932.28}, 'wind': {'speed': 1.61, 'deg': 349.501}, 'clouds': {'all': 76}, 'dt': 1547956143, 'sys': {'message': 0.0029, 'country': 'RU', 'sunrise': 1547937434, 'sunset': 1547960325}, 'id': 2122493, 'name': 'Omsukchan', 'cod': 200}"
el balyana,25.47189464637171,31.34037300423242,"{'cod': '404', 'message': 'city not found'}"
domoni,-8.949757926270522,47.31687568743888,"{'cod': '404', 'message': 'city not found'}"
youhao,47.94159833079564,128.87566304853385,"{'coord': {'lon': 128.84, 'lat': 47.86}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 256.698, 'pressure': 977.27, 'humidity': 56, 'temp_min': 256.698, 'temp_max': 256.698, 'sea_level': 1028.71, 'grnd_level': 977.27}, 'wind': {'speed': 2.91, 'deg': 306.001}, 'clouds': {'all': 44}, 'dt': 1547956288, 'sys': {'message': 0.0107, 'country': 'CN', 'sunrise': 1547939141, 'sunset': 1547971547}, 'id': 2033301, 'name': 'Youhao', 'cod': 200}"
petropavlovsk-kamchatskiy,47.9148819059555,163.38188746908924,"{'coord': {'lon': 158.65, 'lat': 53.05}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 276.15, 'pressure': 983, 'humidity': 64, 'temp_min': 276.15, 'temp_max': 276.15}, 'visibility': 10000, 'wind': {'speed': 2, 'deg': 40}, 'clouds': {'all': 75}, 'dt': 1547955000, 'sys': {'type': 1, 'id': 8887, 'message': 0.0039, 'country': 'RU', 'sunrise': 1547933204, 'sunset': 1547963177}, 'id': 2122104, 'name': 'Petropavlovsk-Kamchatskiy', 'cod': 200}"
evensk,61.03432438919498,157.76457777716206,"{'coord': {'lon': 159.24, 'lat': 61.92}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 264.698, 'pressure': 1015.85, 'humidity': 100, 'temp_min': 264.698, 'temp_max': 264.698, 'sea_level': 1024.9, 'grnd_level': 1015.85}, 'wind': {'speed': 9.31, 'deg': 38.0008}, 'clouds': {'all': 88}, 'dt': 1547956230, 'sys': {'message': 0.0029, 'country': 'RU', 'sunrise': 1547936290, 'sunset': 1547959817}, 'id': 2125693, 'name': 'Evensk', 'cod': 200}"
kruisfontein,-65.3205357740239,27.89903111180098,"{'coord': {'lon': 24.73, 'lat': -34}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 287.973, 'pressure': 1028.26, 'humidity': 91, 'temp_min': 287.973, 'temp_max': 287.973, 'sea_level': 1037.99, 'grnd_level': 1028.26}, 'wind': {'speed': 3.41, 'deg': 319.501}, 'clouds': {'all': 0}, 'dt': 1547956248, 'sys': {'message': 0.0116, 'country': 'ZA', 'sunrise': 1547955010, 'sunset': 1548005611}, 'id': 986717, 'name': 'Kruisfontein', 'cod': 200}"
tiksi,85.54935257545168,132.3770316452783,"{'coord': {'lon': 128.87, 'lat': 71.64}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 230.323, 'pressure': 1008.8, 'humidity': 0, 'temp_min': 230.323, 'temp_max': 230.323, 'sea_level': 1029, 'grnd_level': 1008.8}, 'wind': {'speed': 1.16, 'deg': 115.501}, 'clouds': {'all': 12}, 'dt': 1547956226, 'sys': {'message': 0.0033, 'country': 'RU', 'sunrise': 0, 'sunset': 0}, 'id': 2015306, 'name': 'Tiksi', 'cod': 200}"
ngaoundere,6.781115047042647,13.658417257798192,"{'coord': {'lon': 13.58, 'lat': 7.32}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 286.923, 'pressure': 893.78, 'humidity': 63, 'temp_min': 286.923, 'temp_max': 286.923, 'sea_level': 1025.71, 'grnd_level': 893.78}, 'wind': {'speed': 1.61, 'deg': 73.5008}, 'clouds': {'all': 0}, 'dt': 1547956026, 'sys': {'message': 0.0046, 'country': 'CM', 'sunrise': 1547961828, 'sunset': 1548004174}, 'id': 2224827, 'name': 'Ngaoundere', 'cod': 200}"
